"Timestamp","SG010-CM06002 Purified (L)","SG010-CM06006 Basement (L)","SG010-CM06001 Admin (L)","SG010-CM06008 Logistics (L)","SG010-CM06009 BB & Tab GF (L)","SG080-FM06001 QC Lab 2 & SBP (L)","SG080-FM06002 Bin Washer (L)","SG010-CM06005 Packaging (L)","SG010-CM06010 Tab L3 (TCW01/02) (L)"
"2025-08-23 11:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 11:30:00",350,320,0,0,10,0,0,0,0
"2025-08-23 11:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 12:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 12:15:00",0,0,10,0,0,0,0,0,0
"2025-08-23 12:30:00",190,180,10,10,0,0,0,0,0
"2025-08-23 12:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 13:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 13:15:00",370,340,10,10,10,0,0,0,0
"2025-08-23 13:30:00",0,0,0,20,0,0,0,0,0
"2025-08-23 13:45:00",360,320,10,10,0,0,0,0,0
"2025-08-23 14:00:00",0,0,20,0,0,0,0,0,0
"2025-08-23 14:15:00",0,0,0,10,0,0,0,0,0
"2025-08-23 14:30:00",0,0,0,0,0,0,0,0,0
"2025-08-23 14:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 15:00:00",350,320,0,20,10,0,0,0,0
"2025-08-23 15:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 15:30:00",0,0,0,0,0,0,0,0,0
