"Timestamp","SG010-CM06002 Purified (L)","SG010-CM06006 Basement (L)","SG010-CM06001 Admin (L)","SG010-CM06008 Logistics (L)","SG010-CM06009 BB & Tab GF (L)","SG080-FM06001 QC Lab 2 & SBP (L)","SG080-FM06002 Bin Washer (L)","SG010-CM06005 Packaging (L)","SG010-CM06010 Tab L3 (TCW01/02) (L)"
"2025-08-23 08:15:00",0,0,10,10,0,0,0,0,0
"2025-08-23 08:30:00",390,350,30,0,0,0,70,0,0
"2025-08-23 08:45:00",400,360,30,0,10,0,240,0,0
"2025-08-23 09:00:00",520,470,40,250,0,0,400,0,0
"2025-08-23 09:15:00",280,250,90,700,10,0,0,0,0
"2025-08-23 09:30:00",420,390,60,480,10,0,0,0,0
"2025-08-23 09:45:00",350,320,190,0,0,0,0,0,0
"2025-08-23 10:00:00",380,350,190,0,10,0,0,0,0
"2025-08-23 10:15:00",0,0,150,0,0,0,0,0,0
"2025-08-23 10:30:00",330,290,20,0,10,0,0,0,0
"2025-08-23 10:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 11:00:00",0,0,10,10,0,0,0,0,0
"2025-08-23 11:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 11:30:00",350,320,0,0,10,0,0,0,0
"2025-08-23 11:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 12:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 12:15:00",0,0,10,0,0,0,0,0,0
"2025-08-23 12:30:00",190,180,10,10,0,0,0,0,0
"2025-08-23 12:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 13:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 13:15:00",370,340,10,10,10,0,0,0,0
"2025-08-23 13:30:00",0,0,0,20,0,0,0,0,0
"2025-08-23 13:45:00",360,320,10,10,0,0,0,0,0
"2025-08-23 14:00:00",0,0,20,0,0,0,0,0,0
"2025-08-23 14:15:00",0,0,0,10,0,0,0,0,0
"2025-08-23 14:30:00",0,0,0,0,0,0,0,0,0
"2025-08-23 14:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 15:00:00",350,320,0,20,10,0,0,0,0
"2025-08-23 15:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 15:30:00",0,0,0,0,0,0,0,0,0
"2025-08-23 15:45:00",190,170,10,510,0,0,0,0,0
"2025-08-23 16:00:00",0,0,10,680,0,0,0,0,0
"2025-08-23 16:15:00",370,340,20,410,0,0,0,0,0
"2025-08-23 16:30:00",0,0,10,10,0,0,0,0,0
"2025-08-23 16:45:00",0,0,20,0,0,0,0,0,0
"2025-08-23 17:00:00",0,0,0,0,0,0,0,0,0
"2025-08-23 17:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 17:30:00",360,330,0,10,10,0,0,0,0
"2025-08-23 17:45:00",0,0,10,0,0,0,0,0,0
"2025-08-23 18:00:00",0,0,20,0,0,0,0,0,0
"2025-08-23 18:15:00",0,0,0,0,0,0,0,0,0
"2025-08-23 18:30:00",350,310,0,10,20,0,0,0,0
"2025-08-23 18:45:00",0,0,0,0,0,0,0,0,0
"2025-08-23 19:00:00",0,0,0,0,10,0,0,0,0
"2025-08-23 19:15:00",0,0,10,0,0,0,0,0,0
"2025-08-23 19:30:00",190,190,0,0,0,0,0,0,0
